class_number,wordnet_id,label,umap_x,umap_y
964,n07875152,potpie,-0.20758079,6.8171988
965,n07880968,burrito,-0.28320944,6.69582
966,n07892512,red wine,0.72276926,6.080472
967,n07920052,espresso,0.4485467,5.6796513
968,n07930864,cup,0.31530443,5.814707
969,n07932039,eggnog,-0.056969706,6.62008
970,n09193705,alp,3.96322,7.3622975
971,n09229709,bubble,1.1298338,5.7582517
972,n09246464,"cliff, drop, drop-off",3.6271534,7.060287
973,n09256479,coral reef,1.7007753,8.397836
974,n09288635,geyser,1.1688219,6.002055
975,n09332890,"lakeside, lakeshore",4.0848665,6.8172045
976,n09399592,"promontory, headland, head, foreland",4.188953,7.0333786
977,n09421951,"sandbar, sand bar",2.681793,8.69785
978,n09428293,"seashore, coast, seacoast, sea-coast",4.2959065,6.924023
979,n09468604,"valley, vale",4.0289235,7.0828705
980,n09472597,volcano,2.9586468,7.02934
981,n09835506,"ballplayer, baseball player",5.057862,4.255539
982,n10148035,"groom, bridegroom",5.3274984,8.978677
983,n10565667,scuba diver,4.051064,6.4722276
984,n11879895,rapeseed,-0.088635325,7.1443825
985,n11939491,daisy,2.942439,7.8936057
986,n12057211,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",2.863433,7.4971633
987,n12144580,corn,0.085328355,7.0653
988,n12267677,acorn,3.4199882,7.6588926
989,n12620546,"hip, rose hip, rosehip",2.2534103,5.6435394
990,n12768682,"buckeye, horse chestnut, conker",3.276375,8.46775
991,n12985857,coral fungus,1.6553342,8.41416
992,n12998815,agaric,1.2345831,9.646209
993,n13037406,gyromitra,1.0443976,9.902509
994,n13040303,"stinkhorn, carrion fungus",1.0382019,9.922892
995,n13044778,earthstar,1.1351675,9.864892
996,n13052670,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",1.0474926,9.909588
997,n13054560,bolete,1.0478252,9.840711
998,n13133613,"ear, spike, capitulum",2.3308985,5.5689297
999,n15075141,"toilet tissue, toilet paper, bathroom tissue",1.3250481,5.024881
